RID,NAME,SCIENTNAME
498,Giant hazelnut,Corylus maxima
1510,Resak durian,Cotylelobium burckii (Heim)
1511,Resak bukit,Cotylelobium lanceolatum C.
1512,Resak hitam,Cotylelobium melanoxylon H.
395,Crambe,Crambe abyssinica (Hochst)
396,Seakale,Crambe maritima L.
535,Saffron,Crocus sativus L.
1040,Slenderleaf crotalaria,Crotalaria brevides Benth.
1655,Sunn hemp,Crotalaria juncea L.
1042,Lanceleaf crotalaria,Crotalaria lanceolata E.Mey
1043,Smooth crotalaria,Crotalaria pallida Ait.
1041,Showy crotalaria,Crotalaria spectabilis Roth
602,Rose maple,Cryptocarya erythroxylon M.
303,Sugi,Cryptomeria japonica (L.f.)
387,West Indian gherkin,Cucumis anguria L.
263,Musk melon,Cucumis melo L.
256,Cucumber,Cucumis sativus L.
891,Fig-leaved gourd,Cucurbita ficifolia Bouche
1626,Buffalo gourd,Cucurbita foetidissima HBK
257,Squash gourd,Cucurbita maxima Duch ex L.
388,Winter squash,Cucurbita mixta Pang.
1676,Pumpkin,Cucurbita moschata (Duch.)
278,Vegetable marrow,Cucurbita pepo L.
139,Wild durian,Cullenia rosayroana Koster.
1026,Cumin,Cuminum cyminum L.
304,Chinese fir,Cunninghamia lanceolata (L)
305,Arizona cypress,Cupressus arizonica Greene
847,Mexican cypress,Cupressus lusitanica Mill.
306,Monterey cypress,Cupressus macrocarpa Hartw.
848,Bhutan cypress,Cupressus torulosa Don
1020,Tumeric,Curcuma domestica Val.
1037,Zedoary,Curcuma zedoaria (Christm.)
1654,Cluster bean,Cyamopsis tetragonoloba (L)
1180,Primavera,Cybistax donnellsmithii (R)
887,Quince,Cydonia oblonga Mill.
1066,West Indian lemongrass,Cymbopogon citratus (DC.) S
402,Malabar lemongrass,Cymbopogon flexuosus (Nees)
1068,Rosha grass v. motia,Cymbopogon martini (R.) mo.
1069,Rosha grass v. sofia,Cymbopogon martini (R.) so.
930,False citronella,Cymbopogon nardus (L) v len
927,Citronella grass,Cymbopogon nardus (L) v mah
1572,Globe artichoke,Cynara scolymus L.
231,Bermuda grass,Cynodon dactylon (L.) Pers.
536,African star grass,Cynodon nlemfuensis Vander.
287,Stargrass,Cynodon plectostachyus (K.)
1535,Namnam,Cynometra cauliflora L.
459,Chufa,Cyperus esculentus L.
1065,"Nutgrass, Purple",Cyperus rotundus L.
1689,Tree tomato,Cyphomandra betacea (Cav.)
1090,Tagasaste,Cytisus proliferus L. f.
175,Huon pine,Dacrydium franklinii Hook.f
6,Orchard grass,Dactylis glomerata L.
104,Orchard grass Mediter.,Dactylis glomerata hispani.
800,Crowfoot grass,Dactyloctenium aegyptium L.
1256,Giant button grass,Dactyloctenium giganteum L.
1296,Blackwood,Dalbergia latifolia Roxb.
849,Sissoo,Dalbergia sissoo Roxb.
2,Carrot,Daucus carota L.
1345,Flamboyant,Delonix regia (Boj.ex Hook)
1373,Kaghsi bans,Dendrocalamus Hamiltonii N.
1504,Giant bamboo,Dendrocalamus asper (Schu.)
1313,Waabo,Dendrocalamus giganteus Mu.
1314,Khang,Dendrocalamus longispathus
1374,Bayog,Dendrocalamus merrillianus
1312,Male bamboo,Dendrocalamus strictus Nees
1445,Horse bush,Dendrolobium umbellatum L.
1049,Tuba root,Derris elliptica (Roxb) Be.
1297,Indian beech,Derris indica (Lam.) Bennet
1175,Tuba merah,Derris malaccensis (Benth.)
1324,False tamarind,Desmanthus virgatus (L.) W.
579,Karikut-ritkut,Desmodium gyroides (Roxb.)
426,Carpon desmodium,Desmodium heterocarpon L.DC
984,Hetero,Desmodium heterophyllum W.D
817,Kaimi clover,Desmodium incanum (Sw) DC
810,Greenleaf desmodium,Desmodium intortum (Mill) U
427,Desmodium ovalifolium,Desmodium ovalifolium
428,Spanish clover,Desmodium sandwicense E.Me.
811,Silverleaf desmodium,Desmodium uncinatum (J.) DC
182,Deyeuxia angustifolia,Deyeuxia angustifolia Vick.
915,"Bluestem, Diaz",Dichanthium annulatum (F.)
916,"Bluestem, Angleton",Dichanthium aristatum (Po.)
928,Nadi blue grass,Dichanthium caricosum (L.)
764,"Blue grass, Queensland",Dichanthium sericeum R.Br.
557,"Foxglove, Grecian",Digitalis lanata Ehrh.
168,"Foxglove, Common",Digitalis purpurea L.
931,Seragoon grass,Digitaria didactyla Willd.
32,Pangola grass,Digitaria eriantha Steudel
1155,Hungry rice,Digitaria exilis (Kippist)
932,Milanje grass,Digitaria milanjiana (R.)S.
415,Woolly finger grass,Digitaria pentzii Stent
1102,Dillenia,Dillenia aurea Sm.
1107,Elephant apple,Dillenia indica L.
1108,Dillenia,Dillenia pentagyna Roxb.
375,Longan,Dimocarpus longan Lour long
1536,Mata kucing,Dimocarpus longan Lour male
855,Greater yam,Dioscorea alata L.
894,Potato yam,Dioscorea bulbifera L.
1616,Yellow yam,Dioscorea cayenensis Lam.
1315,Composita yam,Dioscorea composita Hemsl.
895,Bitter yam,Dioscorea dumetorum (K.) P.
854,Lesser yam,Dioscorea esculenta (L.) B.
1336,Wild yam,Dioscorea floribunda M.&G.
896,Chinese yam,Dioscorea opposita Thunb.
897,White yam,Dioscorea rotundata Poir.
898,Chush-chush yam,Dioscorea trifida L.
393,Black sapote,Diospyros digyna Jaxq.
394,Kaki,Diospyros kaki L.f.
1525,Malabar ebony,Diospyros malabarica (Desr)
1242,Tendu,Diospyros melanoxylon Roxb.
61,Persimmon,Diospyros virginiana L.
944,Brown beetle grass,Diplachne fusca (L.) Beauv.
660,Tamarind,Diploglottis cunninghamii H
1126,Hairy-leafed apitong,Dipterocarpus alatus Roxb.
1415,Dulia garjan,Dipterocarpus costatus Gaer
1416,Dhali garjan,Dipterocarpus gracilis Bl.
1127,Gurjan,Dipterocarpus indicus Bedd.
1128,Hollong,Dipterocarpus macrocarpus V
1129,Gurjan,Dipterocarpus turbinatus G.
1050,Tonka bean,Dipteryx odorata (Aubl) Wi.
707,Giant hopbush,Dodonaea viscosa Jacq.
708,Giant hopbush,Dodonaea viscosa ssp angus.
606,Sassafras,Doryphora sassafras Endl.
412,Kei-apple,Dovyalis caffra (Hook.f.&H)
413,Katembilla,Dovyalis hebecarpa Warb.
1472,Corkwood,Duboisia myoporoides R. Ba.
373,Durian,Durio zibethinus Murray
595,Rosewood,Dysoxylum fraseranum (A.J.)
537,Jungle rice,Echinochloa colona (L) Link
945,Barnyard millet,Echinochloa crus-galli (L)
946,Japanese millet,Echinochloa frumentacea (R)
288,Antelope grass,Echinochloa pyramidalis (L)
947,Channel millet,Echinochloa turneriana (D.)
948,Shirohie millet,Echinochloa utilis Ohwi-Ya.
416,Veldtgrass,Ehrharta calycina Sm.
731,Water hyacinth,Eichhornia crassipes (Mar.)
307,Russian olive,Elaeagnus angustifolia L.
249,African oil palm,Elaeis guineensis Jacq.
502,American oil palm,Elaeis oleifera
601,Silver quandong,Elaeocarpus grandis F.Muell
893,Chinese water chestnut,Eleocharis dulcis Trin.
1021,Cardamom,Elettaria cardamomum L. Ma.
1156,Eleusine africana,Eleusine africana Kennedy-O
1694,Finger millet,Eleusine coracana (L)Gaertn
949,Goose grass,Eleusine indica (L.) G. in.
80,Canada wildrye,Elymus canadensis L.
81,Basin wildrye,Elymus cinereus Scrib.&Merr
82,Giant wildrye,Elymus condensatus Presl.
83,Blue wildrye,Elymus glaucus Buckl.
1491,Emilia,Emilia sonchifolia (L.) DC.
1384,Queensland walnut,Endiandra palmerstonii (B.)
783,Enset,Ensete ventricosum (Welw.)
1299,Bungoma grass,Entolasia imbricata Stapf
417,Boer love grass,Eragrostis chloromelas Ste.
524,Grey love grass,Eragrostis cilianensis (A.)
289,Weeping love grass,Eragrostis curvula (Sch.) N
418,Lehmann love grass,Eragrostis lehmanniana Nees
672,Eragrostis pilosa,Eragrostis pilosa L. Beauv.
950,Masai love grass,Eragrostis superba Peyr.
419,Teff,Eragrostis tef (Zucc.) Trot
1300,Bano,Eragrostis tremula (Lam.) S
84,Sand love grass,Eragrostis trichodes
952,Centipede grass,Eremochloa ophiuroides (M.)
406,Loquat,Eriobotrya japonica Lindley
951,Janeiro,Eriochloa punctata (L) Desv
240,Garden rocket,Eruca sativa Miller
580,China coral tree,Erythrina variegata L.
658,Grey corkwood,Erythrina vespertilio Benth
1385,Cooktown ironwood,Erythrophleum chlorostahys
1076,Coca,Erythroxylum coca Lam.
647,Powderbark wandoo,Eucalyptus accedens W.Fitzg
626,Blue-leav. stringybark,Eucalyptus agglomerata Mai.
667,White box,Eucalyptus albens Benth.
645,Brown mallet,Eucalyptus astringens Maid.
668,Coast grey box,Eucalyptus bosistoana F.Mu.
308,Southern mahogany,Eucalyptus botryoides Smith
563,Cape York red gum,Eucalyptus brassiana S.T.B.
1446,Nothern white gum,Eucalyptus brevifolia F.Mu.
309,Dundas mahogany,Eucalyptus brockwayi C.Gar.
615,Marri,Eucalyptus calophylla R.Br.
310,River red gum (NP),Eucalyptus camaldulensis NP
311,River red gum (SP),Eucalyptus camaldulensis SP
312,Lemon sented iron gum,Eucalyptus citriodora Hook.
313,Sugar gum,Eucalyptus cladocalyx F. M.
314,Gympie messmate,Eucalyptus cloeziana F.Mue.
632,Yertchuk,Eucalyptus consideniana Ma.
644,Yate,Eucalyptus cornuta Labill.
315,Narrow-leaved ironbark,Eucalyptus crebra F. Muell.
491,Mountain gum,Eucalyptus dalrympleana Ma.
316,Mindanao gum,Eucalyptus deglupta Blume
317,Alpine ash,Eucalyptus delegatensis R.
635,Karri,Eucalyptus diversicolor F.M
651,White mallee,Eucalyptus dumosa Cunn.
639,River peppermint,Eucalyptus elata Dehnh.
627,Thin-leav. stringybark,Eucalyptus eugenioides Sie.
653,Queensland peppermint,Eucalyptus exserta F. Muell
492,Brown barrel,Eucalyptus fastigata D.& M.
634,White ash,Eucalyptus fraxinoides Dea.
546,Southern blue gum,Eucalyptus globulus bicost.
318,Tasmanian blue-gum,Eucalyptus globulus globul.
544,Maiden's gum,Eucalyptus globulus maiden.
545,Gippsland blue gum,Eucalyptus globulus pseudo.
319,Tuart,Eucalyptus gomphocephala DC
709,Desert gum,Eucalyptus gongylocarpa Bl.
320,Flooded gum,Eucalyptus grandis W. Hill
640,Yellow tingle,Eucalyptus guilfoylei Maid.
616,Red bloodwood,Eucalyptus gummifera (Sol.)
614,Pink bloodwood,Eucalyptus intermedia R.Ba.
321,Gum-barked Coolibah,Eucalyptus intertexta R.Ba.
622,Red tingle,Eucalyptus jacksonii Maiden
1447,Wandi ironbark,Eucalyptus jensenii Maiden
1396,Tasmanian yellow gum,Eucalyptus johnstonii Maid.
322,Black box,Eucalyptus largiflorens F.M
670,Yellow gum,Eucalyptus leucoxylon F. Mu
643,Woollybutt,Eucalyptus longifolia Link
649,York gum,Eucalyptus loxophleba Benth
493,Spotted gum,Eucalyptus maculata Hook.
621,Jarrah,Eucalyptus marginata Donn
324,Yellow box,Eucalyptus melliodora Cunn.
666,Inland grey box,Eucalyptus microcarpa (Ma.)
325,Tallow wood,Eucalyptus microcorys F.Mu.
326,Coolibah,Eucalyptus microtheca F.Mu.
665,Grey box,Eucalyptus moluccana Roxb.
625,Yellow stringybark,Eucalyptus muellerana A.Ho.
617,Melville Is. bloodwood,Eucalyptus nesophila Blakel
628,Queensland stringybark,Eucalyptus nigra R. Baker
494,Shining gum,Eucalyptus nitens (De & Ma)
327,Messmate tree,Eucalyptus obliqua L'Herit.
328,Flat-topped yate,Eucalyptus occidentalis En.
710,Yapunyah,Eucalyptus ochrophloia F.M.
1448,Sturt Creek mallee,Eucalyptus odontocarpa F.M.
631,Blue mountains ash,Eucalyptus oreades R. Baker
711,Sharp-crapped mallee,Eucalyptus oxymitra Blakely
329,Grey ironbark,Eucalyptus paniculata Smith
612,Ghost gum,Eucalyptus papuana F. Muell
620,W. Austral. blackbutt,Eucalyptus patens Benth.
633,Snow gum,Eucalyptus pauciflora Sieb.
330,Large-fr. red mahogany,Eucalyptus pellita F. Muell
619,Scarlet gum,Eucalyptus phoenicea F.Muel
629,Blackbutt,Eucalyptus pilularis Smith
630,Needlebark stringybark,Eucalyptus planchoniana F.
669,Red box,Eucalyptus polyanthemos Sc.
613,Long-fruited bloodwood,Eucalyptus polycarpa F.Muel
663,Poplar box,Eucalyptus populnea F.Muell
331,Small-fruited grey gum,Eucalyptus propinqua D.& M.
636,White peppermint,Eucalyptus pulchella Desf.
642,Grey gum,Eucalyptus punctata DC.
662,White-topped box,Eucalyptus quadrangulata D.
637,Narrow-l. peppermint,Eucalyptus radiata ssp. rad
638,Narrow-l. peppermint,Eucalyptus radiata ssp. rob
495,Mountain ash,Eucalyptus regnans F.Muell.
332,Red mahogany,Eucalyptus resinifera Smith
333,Swamp mahogany,Eucalyptus robusta Smith
652,Swamp gum,Eucalyptus rudis Endl.
334,Sydney blue gum,Eucalyptus saligna Smith
335,Salmon gum,Eucalyptus salmonophloia F.
648,Gimlet,Eucalyptus salubris F.Muell
337,Salt river mallett,Eucalyptus sargentii Maiden
338,Red ironbark (siderox.),Eucalyptus sideroxylon Cun.
641,Red ironbark (tricarp.),Eucalyptus sideroxylon Cun.
323,Silvertop Ash,Eucalyptus sieberi L.Johns.
712,Red mallee,Eucalyptus socialis F. Mue.
339,St. John's gum,Eucalyptus st.-johnii
1395,Tasman.alp.yellow gum,Eucalyptus subcrenulata Ma.
340,Forest red gum,Eucalyptus tereticornis Sm.
611,Carbeen,Eucalyptus tessellaris F.M.
618,Darwin stringybark,Eucalyptus tetrodonta F.Mu.
664,Mountain yapunyah,Eucalyptus thozetiana F.Mu.
341,Cadaga,Eucalyptus torelliana F. M.
650,Redwood,Eucalyptus transcontiental.
719,Vitoria Spring mallee,Eucalyptus trivalvis Blake.
624,Bro.-l. white mahogany,Eucalyptus umbra ssp carnea
623,Bro.-l. white mahogany,Eucalyptus umbra ssp umbra
496,Ampupu,Eucalyptus urophylla S.T.B.
462,Manna gum,Eucalyptus viminalis Labill
646,Wandoo,Eucalyptus wandoo Blakely
1383,Leatherwood,Eucryphia lucida (Labill.)
1012,Clove,Eugenia aromatica Kuntze
481,Java plum,Eugenia cumini (L.) Druce
756,Grumichama,Eugenia dombeyi (S.) Skeels
547,Grey satinash,Eugenia gustavioides Bailey
1603,Rose-apple,Eugenia jambos L.
762,Java apple,Eugenia javanica Lamk.
407,Pomerac,Eugenia malaccensis L.
1460,Forest satinash,Eugenia suborbiculare (Be.)
1592,Brazil cherry,Eugenia uniflora L.
1591,Uvalha,Eugenia uvalha Camb.
851,Rubberhedge euphorbia,Euphorbia tirucalli L.
1513,Ulin ironwood,Eusideroxylon zwageri Teij.
1228,Palmiche,Euterpe chaunostachys Burr.
1253,Euterpe edulis,Euterpe edulis Mart.
1238,Acai,Euterpe oleracea Martius
1275,Blinding tree,Exoecaria agallocha L.
1257,Exotheca,Exotheca abyssinica (A.R.)
455,Fagopyrum emarginatum,Fagopyrum emarginatum
385,Common buckwheat,Fagopyrum esculentum Moench
386,Tartary buckwheat,Fagopyrum tataricum
1505,Tembusu,Fagraea fragrans Roxb.
151,American beech,Fagus grandifolia
4,European beech,Fagus sylvatica L.
1599,Feijoa,Feijoa sellowiana O. Berg
997,Tall fescue,Festuca arundinacea Schreb.
86,Idaho fescue,Festuca idahoensis Elmer
85,Hard fescue,Festuca longifolia Thuill.
398,Sheep fescue,Festuca ovina L.
21,Meadow fescue,Festuca pratensis Huds.
87,Chewing's red fescue,Festuca rubra L v commutata
19,Red Fescue,Festuca rubra L. v. rubra
1527,Areuy gember,Fibraurea tinctoria Lour.
342,Banyan,Ficus benghalensis L.
392,Common fig,Ficus carica L.
1248,India rubber fig,Ficus elastica Roxb.
607,Moreton Bay fig,Ficus macrophylla Desf.
1325,Bunut lengis,Ficus subcordata Blume
1249,Vogel fig,Ficus vogelii (Miq.) Miq.
411,Governors plum,Flacourtia indica (Burm.f.)
1375,Malabalatong,Flemingia macrophylla Blum.
1390,Queensland silver ash,Flindersia bourjotiana F.M.
1391,Queensland maple,Flindersia brayleyana F.Mu.
1392,Maple silkwood,Flindersia pimenteliana F.M
57,Fennel,Foeniculum vulgare Mill.
757,Hong Kong wild kumquat,Fortunella hindsii (C.) Sw.
758,Round kumquat,Fortunella japonica (T.) S.
759,Oval kumquat,Fortunella margarita (L) S.
1088,Chilean strawberry,Fragaria chiloensis L. Duch
133,European strawberry,Fragaria vesca L.
1089,Virginia strawberry,Fragaria virginiana Duch.
1557,Garden strawberry,Fragaria x ananassa (D.) G.
116,Buckthorn,Frangula alnus Mill.
1056,Mauritius hemp,Furcraea gigantea v. wille.
1537,Mundu,Garcinia dulcis (Roxb) Kurz
1596,Mangosteen,Garcinia mangostana L.
1539,Bira tai,Garcinia multiflora Champ.
1538,Asam kandis,Garcinia xanthochymus Hook.
1151,Gendeli poma,Garuga pinnata Roxb.
599,Red carabeen,Geissois benthamiana F.Muel
1506,Intip-intip,Gelidiella acerosa (Forss.)
414,Genipa,Genipa americana L.
119,Dyer's-greenwood,Genista tinctoria L.
343,Honey-locust,Gleditsia triacanthos L.
852,Mother of cocoa,Gliricidia sepium (Jacq.) K
1204,Tinne-red,Gluta travancorica Bedd.
768,Soyabean,Glycine max (L.) Merrill
813,Perennial soybean,Glycine wightii Arn.
141,"Licorice, Common",Glycyrrhiza glabra L.
147,"Licorice, American",Glycyrrhiza lepidota Pursh
856,Yemane,Gmelina arborea Roxb.
1344,White beech,Gmelina leichhardtii (F.M.)
1699,Tree cotton,Gossypium arboreum L.
1698,American pima cotton,Gossypium barbadense L.
1700,Levant cotton,Gossypium herbaceum L.
250,"Cotton, American upland",Gossypium hirsutum L.
1286,Gracilaria,Gracilaria tenuistipitata
1285,Gracilaria,Gracilaria verrucosa
1388,Silver oak,Grevillea parallella J.Kni.
344,Silky oak,Grevillea robusta A.Cunn.
1144,Phalsa,Grewia asiatica L.
1145,Dhaman,Grewia tiliifolia Vahl.
1359,Guacima,Guazuma ulmifolia Lam.
906,Niger-seed (Indian),Guizotia abyssinica Cass.
1341,Niger seed (Ethiopian),Guizotia abyssinica Cass.
812,Cusso,Hagenia abyssinica (Bruce)
345,Black saxaul,Haloxylon aphyllum (Minkw.)
1206,Hardwickia,Hardwickia binata Roxb.
746,Sulla rose,Hedysarum carnosum Desf.
265,Spanish sainfoin,Hedysarum coronarium L.
747,Sulla annuel,Hedysarum flexuosum L.
745,Sulla pale,Hedysarum pallidum Desf.
748,Sulla epineux,Hedysarum spinosissimum L.
775,Sunflower,Helianthus annuus L v macro
890,Jerusalem artichoke,Helianthus tuberosus L.
236,Limpo grass,Hemarthria altissima (Poi.)
184,Hemarthria japonica,Hemarthria japonica Stapf
1139,Sundri,Heritiera Fomes Buch.
1515,Looking-glass tree,Heritiera littoralis Aiton
420,Black spear grass,Heteropogon contortus (L.)
769,Rubber,Hevea brasiliensis (Willd.)
772,Kenaf,Hibiscus cannabinus L.
701,Roselle (altissima),Hibiscus sabdariffa L.v al.
773,Roselle (sabdariffe),Hibiscus sabdariffa L.v sa.
1352,Mahoe,Hibiscus tiliaceus L.
183,Hierochloe odorata,Hierochloe odorata L.Beauv.
857,Mascarey,Hieronyma chocoensis Cuatr.
953,Galleta grass,Hilaria jamesii (Torr.) Be.
954,Tobosa grass,Hilaria mutica (Buckl.) Be.
753,Sea buckthorn,Hippophae rhamnoides L.
754,Sea buckthorn,Hippophae salicifolia D. D.
1130,Thingan,Hopea odorata Roxb.
1131,White kongu,Hopea parviflora Bedd.
1132,Black kongu,Hopea utilis (Bedd.) Bole
1133,Thingam,Hopea wightiana Wall.
185,Hordeum brevisubulatum,Hordeum brevisubulatum (T.)
433,Bulbous barley,Hordeum bulbosum L.
223,Barley,Hordeum vulgare L.
1587,Hops,Humulus lupulus L.
1114,Torathi,Hydnocarpus alpina Wight
1115,Chaulmugra,Hydnocarpus kurzii (King) W
1116,Chaulmoogra,Hydnocarpus laurifolia (D.)
1335,Wick grass,Hymenachne acutigluma (S.)
504,Bhorsal,Hymenodictyon excelsum Wall
955,Tambookie grass,Hyparrhenia hirta (L) Stapf
1680,Jaragua grass,Hyparrhenia rufa (Ness) St.
1262,Doum palm,Hyphaene thebaica L.
1200,Himalayan holly,Ilex dipyrena Wall.
1077,Mate,Ilex paraguaiensis A. St-H.
938,Blady grass,Imperata cylindrica (L.) R.
987,Natal indigo,Indigofera arrecta Hochst.
985,Hairy indigo,Indigofera hirsuta L.
986,Trailing indigo,Indigofera spicata Forsk.
988,Common indigo,Indigofera tinctoria L.
490,Ice-cream bean,Inga edulis von Martius
501,Pacay,Inga feuillei de Candolle
1376,Borneo teak,Intsia bijuga (Colebr.)O.K.
879,Kang kong,Ipomoea aquatica For. aqua.
1148,Kang kong,Ipomoea aquatica For. rept.
1644,Sweet potato,Ipomoea batatas (L.) Lam.
956,Batiki blue grass,Ischaemum ciliare Retzius
1695,Rumput melayu,Ischaemum magnum Rendle
1326,Drought grass,Ischaemum muticum L.
1327,Wrinkle duck-beak,Ischaemum rugosum Salisb.
1328,Centipede grass,Ischaemum timorense Kunth
957,Machuri,Iseilema laxum Hack.
958,Flinders grass,Iseilema membranaceum (Li.)
1258,Mexican grass,Ixophorus unisetus (Presl)
1346,Futui,Jacaranda copaia (Aubl.) D.
858,Jacaranda,Jacaranda mimosifolia D.Don
1227,Pataua,Jessenia bataua (Mart.) Bu.
60,California b. walnut,Juglans hindsii Jeps.
59,Black walnut,Juglans nigra L.
3,English walnut,Juglans regia L.
169,Heartnut,Juglans sieboldiana
1031,African pencil cedar,Juniperus procera Hochst.
790,Hausa groundnut,Kerstingiella geocarpa Har.
859,African mahogani,Khaya senegalensis (Desr.)
199,Koeleria cristata,Koeleria cristata Griseb.
1559,Hyacinth bean,Lablab purpureus Medik.
1482,Indian lettuce,Lactuca indica L.
1652,Lettuce,Lactuca sativa L.
1674,Bottle gourd,Lagenaria siceraria (M) St.
1232,Jarul,Lagerstroemia flos-reginae
1234,Benteak,Lagerstroemia lanceolata W.
1231,Dhaura,Lagerstroemia parviflora R.
1233,Leza,Lagerstroemia tomentosa Pr.
1469,White mangrove,Laguncularia racemosa (L.)
1205,Wodier,Lannea coromandelica (Hou.)
379,Langsat,Lansium domesticum Corr.
90,Sewan grass,Lasiurus hirsutus Boiss.
734,Flat-topped vetchling,Lathyrus cicera L.
140,Rough pea,Lathyrus hirsutus L.
735,Ochrus vetch,Lathyrus ochrus (L.) D.C.
230,Grass pea,Lathyrus sativus L.
442,Sweet bay,Laurus nobilis L.
553,True lavender,Lavandula angustifolia Mill
556,French lavender,Lavandula dentata
554,Hybrid lavender,Lavandula intermedia Emeri.
555,Spike lavender,Lavandula latifolia (L.f.)
1526,Henna,Lawsonia inermis L.
1259,Swamp rice grass,Leersia hexandra Sw.
1546,Tara,Lemuropisum edule
226,Lentil,Lens culinaris Medikus
1195,Maca,Lepidium meyenii Walpers
1032,Garden cress,Lepidium sativum L.
484,Black swamp grass,Leptochloa fusca (L.) Kunth
391,Sericea,Lespedeza cuneata (Dum) G.
903,Korean clover,Lespedeza stipulacea Maxim.
904,Japanese clover,Lespedeza striata (Thunb.)
1377,Leucaena diversifolia,Leucaena diversifolia Benth
808,Leucaena,Leucaena leucocephala (La.)
173,Lovage,Levisticum officinale Koch
1381,Wedge leaflet fan palm,Licuala ramsayi (F.Muell.)
130,White meadowfoam,Limnanthes alba
227,Linseed,Linum usitatissimum L.
346,Bilsted,Liquidambar styaciflua L.
270,Lychee,Litchi chinensis Sonn.
590,Cabbage-tree palm,Livistona australis (R.Br)
68,Italien ryegrass,Lolium multiflorum Lam.
22,Perennial reygrass,Lolium perenne L.
108,Rigid ryegrass,Lolium rigidum Gaud.
1163,Barbasco,Lonchocarpus nicou (Aubl.)
1449,Swamp box,Lophostemon suaveolens Sol.
818,Lotononis,Lotononis bainesii Baker
229,Birdsfoot trefoil,Lotus corniculatus L.
239,Silvery birdsfoot tref,Lotus creticus L.
217,Esculent birdsfoot tre,Lotus edulis L.
218,Pretty birdsfoot trefo,Lotus halophilus Boiss.
143,Narrowleaf trefoil,Lotus tenuis Wald. & Kit.
142,Big trefoil,Lotus uliginosus Schkuhr
959,Common russet grass,Loudetia simplex (Nees) C.
1677,Ridged gourd,Luffa acutangula (L.) Roxb.
1678,Smooth luffa,Luffa cylindrica (L.) M.J.R
1274,Lumnitzera,Lumnitzera littorea (Jack)
1273,Kirpa,Lumnitzera racemosa Willd.
7,White Lupine,Lupinus albus L.
8,Blue lupine,Lupinus angustifolius L.
541,Sand plain lupin,Lupinus cosentinii Guss.
9,Yellow Lupine,Lupinus luteus L.
368,Tarwi,Lupinus mutabilis Sweet
137,Lupinus pilosus,Lupinus pilosus
1492,Chinese boxthorn,Lycium chinense Miller
244,Tomato,Lycopersicon esculentum M.
723,Macademia nut,Macadamia tetraphylla
1552,Macademia nut,Macademia integrifolia M&B.
1685,Siratro,Macroptilium atropurpureum
293,Phasey bean,Macroptilium lathyroides L.
989,Perennial horse gram,Macrotyloma axillare (E.M.)
1658,Horse gram,Macrotyloma uniflorum (Lam)
1181,Musizi,Maesopsis eminii Engl.
111,Sweet marjoram,Majorana hortensis (Mönch)
1543,Kamala,Mallotus philippensis (La.)
465,Barbados cherry,Malpighia glabra L.
760,Apple,Malus domestica Borkh.
246,Apple,Malus sylvestris Mill.
408,Mammey apple,Mammea americana L.
259,Mango,Mangifera indica L.
1638,Cassava,Manihot esculenta Crantz.
378,Sapodilla,Manilkara achras (Mill) Fos
794,Arrowroot,Maranta arundinacea L.
560,Horehound,Marrubium vulgare L.
559,German camomile,Matricaria recutita L.
1225,Buriti palm,Mauritia flexuosa L.
144,Spotted burclover,Medicago arabica (L.) Huds.
429,Sickle medick,Medicago falcata L.
744,Calvary medic,Medicago intertexta (L) Mi.
738,Cut leaf medic,Medicago laciniata (L) Mil.
737,Strand medic,Medicago littoralis Rhode
485,Black medic,Medicago lupulina L.
740,Goldfields medic,Medicago minima (L.) Bart.
486,Buttonclover,Medicago orbicularis (L) B.
487,Burr medic,Medicago polymorpha L.
742,Tifton medick,Medicago rigidula (L.) All.
739,Snail clover,Medicago rugosa Desr.
252,Alfalfa,Medicago sativa L.
1176,Snail medic,Medicago scutellata (L)Mill
741,Luzerne escargot,Medicago tornata (L) Mill.
736,Aleppo clover,Medicago truncatula Gaertn.
743,Cogwheel medick,Medicago turbinata (L.) All
430,Variegated alfalfa,Medicago varia Martyrn.
1450,Winti,Melaleuca arcana S.T. Blake
713,River tea-tree,Melaleuca bracteata F.Muel.
1451,Swamp tea-tree,Melaleuca cajuputi Powell.
1343,Blue-leaved paperbark,Melaleuca dealbata S.T.Bla.
654,Moonah,Melaleuca lanceolata Otto
860,Long-leaved paperbark,Melaleuca leucadendron L.
1452,Yellow-bark. paperbark,Melaleuca nervosa (Lindley)
1353,Fine-veined paperbark,Melaleuca quinquenervia (C)
1453,Liniment tree,Melaleuca symphyocarpa F.M.
1454,Broad-leaved paperbark,Melaleuca viridiflora Sol.
1354,Chinaberry,Melia azedarach L.
714,White cedar,Melia azedarach v austral.
1192,Malabar neem wood,Melia compostia Willd.
926,Spanish lime,Melicoccus bijugatus Jacq.
25,White sweetclover,Melilotus alba Medik.
425,Indian melilot,Melilotus indica (L.) All.
26,Yellow sweetclover,Melilotus officinalis Lam.
148,Sweet clover,Melilotus suaveolens Ledeb.
801,Molasses grass,Melinis minutiflora Beauv.
160,Sweet balm,Melissa officinalis L.
1369,Melocalamus,Melocalamus compactiflorus
1368,Melocanna,Melocanna baccifera (Roxb.)
112,Corn mint,Mentha arvensis v piperasc.
161,European pennyroyal,Mentha pulegium L.
162,Applemint,Mentha rotundifolia (L)Huds
113,Spearmint,Mentha spicata L. v. crispa
1567,Peppermint,Mentha x piperita L.
1120,Mesua,Mesua ferrea L.
1561,Sago palm,Metroxylon sagu Rottboell
